symbol,base,quote,last_price,bid,ask,spread,volume_24h,fetched_at_utc
BTCUSDT,BTC,USDT,122949.0,122803.81,122949.0,145.19,,2025-10-05T16:40:45.863150
BTCIRT,BTC,IRT,140500015520.0,140500000380.0,140500015520.0,15140.0,,2025-10-05T16:40:45.863150
ETHUSDT,ETH,USDT,4547.05,4536.87,4546.75,9.88,,2025-10-05T16:40:45.863150
ETHIRT,ETH,IRT,5185000000.0,5185010000.0,5188000000.0,2990000.0,,2025-10-05T16:40:45.863150
XRPUSDT,XRP,USDT,3.00615,3.00608,3.01,0.00392,,2025-10-05T16:40:45.863150
XRPIRT,XRP,IRT,3443520.0,3443480.0,3443490.0,10.0,,2025-10-05T16:40:45.863150
ADAUSDT,ADA,USDT,0.8543,0.8526,0.8543,0.0017,,2025-10-05T16:40:45.863150
ADAIRT,ADA,IRT,975250.0,975250.0,975260.0,10.0,,2025-10-05T16:40:45.863150
DOGEUSDT,DOGE,USDT,0.2560939,0.2562206,0.2569972,0.0007766,,2025-10-05T16:40:45.863150
DOGEIRT,DOGE,IRT,293699.0,293682.0,293699.0,17.0,,2025-10-05T16:40:45.863150
TRXUSDT,TRX,USDT,0.34317,0.34222,0.34317,0.00095,,2025-10-05T16:40:45.863150
TRXIRT,TRX,IRT,391100.0,391100.0,391400.0,300.0,,2025-10-05T16:40:45.863150
LTCUSDT,LTC,USDT,119.84,119.67,120.07,0.4,,2025-10-05T16:40:45.863150
LTCIRT,LTC,IRT,136900020.0,136900020.0,136988000.0,87980.0,,2025-10-05T16:40:45.863150
BNBUSDT,BNB,USDT,1161.4741,1161.554,1163.0,1.446,,2025-10-05T16:40:45.863150
BNBIRT,BNB,IRT,1332913280.0,1328453410.0,1332912580.0,4459170.0,,2025-10-05T16:40:45.863150
SOLUSDT,SOL,USDT,230.121,230.158,230.502,0.344,,2025-10-05T16:40:45.863150
SOLIRT,SOL,IRT,263090760.0,263090760.0,263747280.0,656520.0,,2025-10-05T16:40:45.863150
DOTUSDT,DOT,USDT,4.239,4.236,4.254,0.018,,2025-10-05T16:40:45.863150
DOTIRT,DOT,IRT,4867160.0,4850000.0,4866060.0,16060.0,,2025-10-05T16:40:45.863150
ZECUSDT,ZEC,USDT,152.17,152.12,153.0,0.88,,2025-10-05T16:40:45.863150
ZECIRT,ZEC,IRT,174000010.0,174000020.0,174999990.0,999970.0,,2025-10-05T16:40:45.863150
LINKUSDT,LINK,USDT,22.427,22.474,22.522,0.048,,2025-10-05T16:40:45.863150
LINKIRT,LINK,IRT,25680070.0,25617560.0,25757210.0,139650.0,,2025-10-05T16:40:45.863150
AVAXUSDT,AVAX,USDT,30.307,30.22,30.307,0.087,,2025-10-05T16:40:45.863150
AVAXIRT,AVAX,IRT,34600070.0,34600070.0,34644140.0,44070.0,,2025-10-05T16:40:45.863150
AAVEUSDT,AAVE,USDT,288.9,289.16,290.85,1.69,,2025-10-05T16:40:45.863150
AAVEIRT,AAVE,IRT,328853140.0,329087360.0,331799910.0,2712550.0,,2025-10-05T16:40:45.863150
NEARUSDT,NEAR,USDT,3.022,3.016,3.029,0.013,,2025-10-05T16:40:45.863150
NEARIRT,NEAR,IRT,3440530.0,3440520.0,3465570.0,25050.0,,2025-10-05T16:40:45.863150
ATOMUSDT,ATOM,USDT,4.216,4.208,4.234,0.026,,2025-10-05T16:40:45.863150
ATOMIRT,ATOM,IRT,4807900.0,4807910.0,4842980.0,35070.0,,2025-10-05T16:40:45.863150
UNIUSDT,UNI,USDT,8.151,8.152,8.208,0.056,,2025-10-05T16:40:45.863150
UNIIRT,UNI,IRT,9350010.0,9350010.0,9387990.0,37980.0,,2025-10-05T16:40:45.863150
SUSHIUSDT,SUSHI,USDT,0.714,0.705,0.713,0.008,,2025-10-05T16:40:45.863150
SUSHIIRT,SUSHI,IRT,807430.0,804160.0,813600.0,9440.0,,2025-10-05T16:40:45.863150
ALGOUSDT,ALGO,USDT,0.2241,0.2222,0.2242,0.002,,2025-10-05T16:40:45.863150
ALGOIRT,ALGO,IRT,255240.0,255000.0,256350.0,1350.0,,2025-10-05T16:40:45.863150
MANAUSDT,MANA,USDT,0.3314,0.3386,0.3413,0.0027,,2025-10-05T16:40:45.863150
MANAIRT,MANA,IRT,386360.0,386110.0,389890.0,3780.0,,2025-10-05T16:40:45.863150
ENJUSDT,ENJ,USDT,0.0638,0.063,0.0635,0.0005,,2025-10-05T16:40:45.863150
ENJIRT,ENJ,IRT,72220.0,71740.0,73000.0,1260.0,,2025-10-05T16:40:45.863150
BTCIRT,BTC,IRT,140500015520.0,140500000380.0,140500015520.0,15140.0,,2025-10-05T16:40:45.863150
USDTIRT,USDT,IRT,1141430.0,1141020.0,1141430.0,410.0,,2025-10-05T16:40:45.863150
