نماد,پایه,مظنه,قیمت_آخر (USD),قیمت_بید,قیمت_اسک,اسپرد,اسپرد_درصد,حجم_24ساعت,زمان_استخراج_UTC
BTCUSDT,BTC,USDT,122886.49,122710.77,122949.09,238.32,0.19,,2025-10-05T16:54:29.466229
ETHUSDT,ETH,USDT,4520.0,4520.03,4529.56,9.53,0.21,,2025-10-05T16:54:29.466229
XRPUSDT,XRP,USDT,2.99,2.99,3.0,0.01,0.24,,2025-10-05T16:54:29.466229
ADAUSDT,ADA,USDT,0.85,0.85,0.85,0.0,0.08,,2025-10-05T16:54:29.466229
DOGEUSDT,DOGE,USDT,0.26,0.26,0.26,0.0,0.21,,2025-10-05T16:54:29.466229
TRXUSDT,TRX,USDT,0.34,0.34,0.34,0.0,0.26,,2025-10-05T16:54:29.466229
LTCUSDT,LTC,USDT,119.99,119.55,120.05,0.5,0.42,,2025-10-05T16:54:29.466229
BNBUSDT,BNB,USDT,1158.99,1160.36,1163.0,2.64,0.23,,2025-10-05T16:54:29.466229
SOLUSDT,SOL,USDT,229.4,229.8,230.5,0.7,0.3,,2025-10-05T16:54:29.466229
DOTUSDT,DOT,USDT,4.23,4.22,4.23,0.0,0.09,,2025-10-05T16:54:29.466229
ZECUSDT,ZEC,USDT,151.85,150.96,151.56,0.6,0.4,,2025-10-05T16:54:29.466229
LINKUSDT,LINK,USDT,22.42,22.43,22.5,0.07,0.3,,2025-10-05T16:54:29.466229
AVAXUSDT,AVAX,USDT,30.1,30.07,30.26,0.19,0.64,,2025-10-05T16:54:29.466229
AAVEUSDT,AAVE,USDT,288.44,288.55,289.66,1.11,0.38,,2025-10-05T16:54:29.466229
