نماد,قیمت_لحظه‌ای (USD),جهت_سیگنال,قیمت_ورود,حد_ضرر,حد_سود,سود_خالص (USD),درصد_سود,نسبت_R_R,علت_سیگنال
BTCUSDT,83550.0,NONE,83550.0,83550.0,83550.0,-6.02,-0.6,-1.0,nomatch
ETHUSDT,2653.0,NONE,2653.0,2653.0,2653.0,-6.02,-0.6,-1.0,nomatch
XRPUSDT,1.4742,NONE,1.4742,1.4742,1.4742,-6.02,-0.6,-1.0,nomatch
ADAUSDT,0.2362,LONG,0.2362,0.2327,0.2619,102.17,10.22,4.89,پولبک به حمایتی فیبوناچی 0.5/0.618 + MACD صعودی + RSI
DOGEUSDT,0.0929,LONG,0.0929,0.0915,0.1043,116.42,11.64,5.57,پولبک به حمایتی فیبوناچی 0.5/0.618 + MACD صعودی + RSI
TRXUSDT,0.3403,NONE,0.3403,0.3403,0.3403,-6.02,-0.6,-1.0,nomatch
LTCUSDT,66.44,NONE,66.44,66.44,66.44,-6.02,-0.6,-1.0,nomatch
BNBUSDT,770.3707,LONG,770.3707,758.8151,797.4844,29.0,2.9,1.39,پولبک به حمایتی فیبوناچی 0.5/0.618 + MACD صعودی + RSI
SOLUSDT,113.697,NONE,113.697,113.697,113.697,-6.02,-0.6,-1.0,nomatch
DOTUSDT,1.12,LONG,1.12,1.1032,1.238,98.74,9.87,4.73,پولبک به حمایتی فیبوناچی 0.5/0.618 + MACD صعودی + RSI
ZECUSDT,1500.38,NONE,1500.38,1500.38,1500.38,-6.02,-0.6,-1.0,nomatch
LINKUSDT,12.254,LONG,12.254,12.0702,13.219,72.3,7.23,3.46,پولبک به حمایتی فیبوناچی 0.5/0.618 + MACD صعودی + RSI
AVAXUSDT,10.213,LONG,10.213,10.0598,11.415,111.01,11.1,5.31,پولبک به حمایتی فیبوناچی 0.5/0.618 + MACD صعودی + RSI
AAVEUSDT,137.55,LONG,137.55,135.4868,154.96,119.83,11.98,5.74,پولبک به حمایتی فیبوناچی 0.5/0.618 + MACD صعودی + RSI
